source,destination,f1,f2,f3,f4,f5
0,1,67,15,47,15,5
2,3,30,43,88,50,7
2,4,3,25,32,8,34
5,6,26,13,48,55,85
5,7,8,21,60,26,21
8,9,87,52,33,36,26
10,11,81,46,17,79,30
12,13,48,41,44,77,53
12,14,93,49,48,98,31
15,16,33,43,32,86,70
17,18,99,23,5,14,95
12,19,97,65,95,14,97
20,21,93,44,13,71,69
20,22,89,45,15,41,37
23,24,38,24,22,3,62
23,25,91,37,22,34,53
23,26,74,74,86,33,26
23,27,71,89,24,7,88
23,28,27,17,2,90,81
23,29,65,16,65,14,96
23,30,36,49,26,83,84
23,31,1,90,45,50,71
23,32,65,76,20,31,10
23,33,96,24,34,83,63
23,34,64,36,79,4,96
23,35,82,48,91,55,91
23,36,33,49,0,84,85
23,37,56,8,45,84,58
23,38,17,84,80,56,42
23,39,40,63,60,68,17
23,40,88,27,43,99,83
41,42,51,26,80,39,6
43,44,56,21,96,3,10
45,46,14,33,67,60,23
47,48,10,8,73,2,57
49,50,37,95,49,43,81
41,51,21,46,97,5,7
52,53,8,44,13,78,96
54,55,25,95,98,46,0
54,56,15,44,40,9,26
54,57,31,94,70,85,26
54,58,67,9,40,31,61
54,59,68,85,38,69,75
60,61,38,12,9,40,68
54,54,85,51,81,56,53
62,63,96,4,92,45,18
64,65,53,34,2,88,12
62,4,81,38,61,14,26
66,67,68,29,98,16,25
68,69,72,8,33,30,59
42,41,34,82,3,25,49
70,71,77,50,93,62,88
72,21,67,10,14,83,13
71,70,86,47,36,12,60
73,74,8,23,88,11,46
75,76,21,85,24,68,5
75,48,46,28,62,21,27
77,78,9,99,67,36,39
77,79,53,9,99,40,28
80,81,76,46,92,43,93
80,68,21,55,73,32,3
19,62,5,58,1,5,9
82,83,76,14,26,61,58
22,21,54,55,31,25,88
82,84,63,8,16,48,95
21,72,69,25,48,98,30
41,85,1,99,76,66,3
41,86,33,86,9,41,77
41,87,83,92,86,43,37
82,86,81,6,43,90,60
88,89,51,7,16,29,71
90,91,27,97,72,40,26
92,20,99,17,73,12,51
41,93,95,68,81,62,90
41,94,67,95,21,85,93
41,95,7,0,0,48,12
89,96,95,3,32,51,60
89,88,25,91,81,82,23
97,98,82,28,85,61,2
97,99,48,65,87,99,10
97,100,12,9,45,16,29
97,101,14,9,90,32,73
97,102,29,24,36,62,6
103,104,87,21,58,95,95
51,41,38,32,50,78,96
82,105,81,58,33,66,30
90,106,32,64,56,99,88
62,107,14,35,57,61,15
108,109,81,91,19,85,26
108,66,71,1,1,21,62
108,110,54,32,82,10,72
108,111,63,54,7,9,73
108,112,46,49,73,41,51
113,114,60,28,81,47,80
115,116,98,70,39,48,47
117,118,93,36,38,38,56
76,119,44,59,59,36,39
17,120,86,11,85,82,8
82,121,32,40,49,95,10
122,123,12,16,5,38,81
14,12,28,83,38,62,62
124,125,95,67,87,88,65
13,126,50,50,43,80,76
127,128,97,93,28,2,21
127,129,69,3,25,21,30
127,130,64,31,41,85,31
131,132,20,21,31,99,25
40,26,84,64,46,19,67
40,29,13,37,51,14,51
18,133,58,92,1,47,3
56,55,12,65,89,31,11
56,54,28,33,24,69,95
56,59,48,79,32,40,25
134,6,80,63,53,68,38
115,62,81,8,25,15,57
135,136,42,14,57,11,42
137,138,92,47,78,69,76
137,137,65,15,13,82,7
22,20,6,2,0,68,42
139,140,62,46,94,39,8
141,142,23,79,88,7,19
143,143,98,21,15,84,99
143,51,90,88,33,16,73
143,133,67,0,38,17,21
144,145,77,29,86,26,90
146,147,28,74,12,0,74
83,82,14,98,66,24,6
148,149,27,5,11,76,96
150,103,70,31,68,39,12
150,150,15,11,36,26,92
49,84,73,38,83,67,60
151,28,42,59,49,7,71
152,153,69,69,91,86,61
153,152,81,27,65,86,22
154,155,13,90,48,70,69
156,157,44,35,32,47,33
139,15,41,28,25,70,25
158,159,58,59,46,77,16
4,2,84,19,69,21,18
4,3,84,86,51,72,22
133,18,27,6,4,83,49
160,161,1,44,57,34,77
84,162,85,76,32,71,40
84,50,31,11,9,58,19
84,49,86,92,29,30,56
84,71,27,22,75,32,7
72,163,41,43,18,0,22
164,139,32,76,80,1,3
165,166,86,64,18,44,59
167,168,54,94,18,28,5
123,122,53,6,95,68,96
169,115,2,13,45,35,95
169,170,24,17,81,7,16
40,171,29,8,3,51,57
123,103,84,74,1,97,84
123,172,32,13,44,81,76
123,61,83,68,66,14,92
123,123,40,10,53,75,45
24,96,45,24,59,26,90
81,80,94,54,42,14,67
173,21,81,75,91,27,99
174,175,99,24,16,75,45
176,177,99,13,94,77,28
176,178,78,86,10,47,89
122,179,40,60,79,53,95
21,22,12,95,36,98,14
180,130,30,8,74,63,85
181,182,88,69,57,65,93
129,183,56,13,78,37,37
184,184,29,4,44,50,84
181,179,51,90,15,15,20
185,52,84,92,63,5,25
70,186,25,10,23,33,44
106,187,37,3,87,68,17
137,175,24,80,71,76,53
137,174,46,44,23,69,49
188,189,19,46,25,81,68
108,190,63,48,3,43,60
191,157,54,57,88,26,59
191,191,32,32,53,18,98
192,193,28,31,15,75,46
