source,destination,f1,f2,f3,f4,f5
894,544,14,51,61,52,68
895,1521,47,48,45,59,62
613,404,95,81,4,85,6
831,630,24,32,6,51,47
770,493,13,97,38,47,80
83,1051,85,32,57,2,39
200,275,24,7,50,39,28
769,1120,84,12,99,69,84
575,1103,91,24,66,98,88
658,912,86,88,44,61,3
547,1523,80,6,14,92,28
578,1016,27,47,14,38,50
932,1016,51,48,35,55,55
829,390,92,56,56,53,17
1437,1411,99,41,13,17,43
1083,80,3,40,26,54,74
352,807,16,65,11,10,4
1347,1498,56,98,20,46,71
718,722,18,97,4,54,86
332,1594,44,6,47,66,35
22,16,65,73,32,73,82
1303,33,62,92,18,84,92
1291,1044,22,48,97,34,48
1408,218,21,53,9,36,66
194,756,51,85,81,49,25
1342,944,29,59,18,82,80
1308,556,70,70,66,11,88
223,769,46,62,34,64,55
1293,1642,87,21,64,79,15
403,719,89,34,46,51,52
973,399,62,36,77,23,38
610,327,35,88,79,62,22
915,324,29,92,76,45,24
683,4,19,2,41,88,93
718,1560,42,87,33,7,45
1583,648,33,31,52,97,5
793,102,6,14,33,10,3
778,1378,81,69,98,39,14
1372,131,13,12,27,81,87
1290,800,48,11,3,35,3
1531,1203,85,34,77,76,94
297,591,19,3,45,51,44
1339,1538,33,81,91,79,87
1189,565,14,30,95,20,35
1521,1212,42,95,80,9,67
712,70,13,12,21,16,35
1180,176,69,36,28,78,62
941,837,64,93,25,49,36
318,341,63,34,20,14,6
888,466,64,84,31,32,63
34,1273,99,32,7,97,39
1556,523,6,70,86,53,68
904,465,79,26,10,20,97
576,837,55,44,62,35,91
1061,1191,97,80,72,83,59
333,504,1,76,55,89,93
1132,279,75,60,57,69,51
165,902,28,78,14,63,72
22,1343,39,28,4,51,7
1160,1209,12,5,45,15,53
1099,1042,19,48,86,56,83
171,771,20,99,21,42,61
1245,1394,99,38,10,32,1
1020,1151,35,46,90,29,86
10,1543,31,83,21,9,84
778,243,25,72,90,60,57
887,1615,99,22,25,87,27
978,199,27,94,76,53,28
668,647,54,92,56,43,72
429,1098,70,4,87,23,95
576,1108,75,18,63,76,38
124,297,37,33,31,18,23
1430,731,23,8,74,87,91
1388,1511,78,36,17,83,34
831,1457,1,64,50,89,53
297,1423,18,24,93,88,99
1247,338,91,2,19,59,90
1615,682,0,2,60,67,6
1160,1108,51,34,75,71,63
1177,783,69,72,14,35,95
1097,510,67,79,85,36,77
1380,642,68,90,53,23,67
911,352,58,83,87,2,58
672,293,94,55,98,14,16
1248,771,70,51,13,16,89
1583,1177,63,8,31,0,21
914,288,10,71,77,59,57
22,1469,20,2,48,22,66
241,688,40,35,47,5,86
200,1252,3,14,59,30,66
1550,1012,45,74,50,29,33
1381,1054,23,27,32,69,38
410,730,14,76,29,81,60
1211,1111,71,0,41,35,67
1164,1612,58,51,50,65,54
1352,1004,63,17,33,46,20
201,1255,92,22,51,34,73
127,1140,65,47,65,22,49
672,1018,74,10,60,4,71
857,1427,1,31,99,62,79
1342,1006,24,78,63,10,18
1295,660,31,76,3,86,21
613,1243,86,54,9,65,70
825,312,99,67,6,9,62
762,911,65,13,88,59,71
1181,687,16,62,92,37,74
716,1305,77,75,92,42,80
253,197,68,63,72,1,16
1414,935,87,70,6,30,93
4,970,64,56,11,23,39
608,1124,34,87,74,3,89
909,1147,41,92,93,5,41
545,127,19,13,11,59,59
554,1044,78,58,20,52,79
1372,686,11,5,52,48,48
105,254,96,47,26,23,20
1245,1221,23,64,53,9,71
887,920,68,52,7,29,53
373,990,33,86,89,48,45
1113,1566,47,40,55,72,61
246,1237,89,9,9,52,95
301,978,45,69,88,83,24
486,1217,36,67,20,60,53
200,837,58,11,77,36,57
1211,1292,3,98,54,74,5
867,1007,35,31,8,37,38
327,1059,88,95,56,57,93
1098,306,90,97,66,54,76
331,961,96,81,24,91,87
396,1014,25,34,87,68,60
438,395,69,13,22,61,11
483,9,54,76,71,39,89
207,487,16,49,82,43,37
1130,108,91,32,65,36,67
373,1482,22,73,3,96,20
1407,931,88,18,55,95,10
431,1343,63,40,87,36,76
1429,1301,28,35,10,24,3
576,6,42,85,25,75,8
1530,1111,72,85,1,28,3
1177,614,19,86,14,57,30
292,771,74,23,50,1,51
160,187,2,65,24,49,59
1081,499,47,7,61,30,78
656,776,40,48,48,13,28
1027,370,17,51,58,31,20
1304,417,27,37,76,98,11
586,489,12,44,96,14,50
613,406,72,72,85,93,40
1149,1414,19,2,59,56,21
914,589,55,98,18,36,88
1581,146,80,78,76,4,49
1159,1628,40,40,72,43,79
1291,730,70,2,4,59,62
696,1140,1,44,12,33,13
1422,333,78,72,6,36,73
714,136,91,4,80,81,74
541,1604,29,39,19,71,49
419,99,95,4,42,34,27
919,73,48,8,65,13,49
1181,952,19,98,12,70,64
274,905,87,22,3,84,53
1016,80,34,65,11,79,51
1159,153,96,96,8,93,66
1285,811,11,30,68,5,22
1450,1188,46,30,69,23,9
274,280,45,35,12,56,63
221,1566,94,65,71,46,30
194,450,66,89,86,60,23
912,106,3,9,81,63,44
188,1536,43,71,78,0,48
1598,276,88,16,37,20,13
505,1059,58,50,77,61,63
1621,361,85,72,72,13,60
1401,645,81,56,75,35,5
1388,822,75,3,58,4,81
1164,1391,28,71,45,73,24
1245,886,64,26,26,45,23
793,171,72,57,86,97,44
288,1160,71,27,45,94,29
1401,51,61,71,87,98,37
392,989,32,85,53,23,31
515,107,15,93,9,46,24
331,314,30,55,82,92,63
292,878,22,21,2,93,8
25,4,46,59,90,89,41
360,526,10,74,17,20,62
160,339,52,92,58,36,17
375,246,73,90,14,79,42
317,1059,61,14,21,74,86
1370,338,69,90,60,0,99
494,248,60,77,27,15,31
1624,28,48,36,65,60,60
707,295,73,58,83,25,25
280,472,62,63,99,46,94
887,719,52,22,47,96,7
70,570,10,45,71,69,24
224,654,27,78,65,1,49
509,1103,62,2,36,58,65
194,383,12,13,44,87,19
369,669,27,89,91,9,39
778,276,46,26,1,11,24
106,258,80,94,68,15,17
1164,1399,45,6,5,54,28
275,309,52,72,72,21,4
829,1347,56,1,24,21,60
771,1585,83,4,61,20,68
1346,1090,0,87,36,6,29
1211,625,76,22,49,90,22
