source,destination,f1,f2,f3,f4,f5
30,1412,57,76,43,60,75
30,3352,99,68,17,93,13
30,5254,13,96,43,27,60
30,5543,11,7,3,45,27
30,7478,36,92,95,32,86
3,28,46,81,66,67,87
3,30,69,27,75,45,91
3,39,17,35,95,28,24
3,54,54,36,63,52,17
3,108,71,56,75,60,6
3,152,5,77,36,49,31
3,178,31,5,96,89,10
3,182,61,43,6,93,91
3,214,73,65,7,94,84
3,271,79,94,38,24,79
3,286,81,49,58,23,85
3,300,83,82,46,43,52
3,348,43,31,23,53,84
3,349,18,34,94,67,19
3,371,69,15,53,72,16
3,567,23,92,51,28,41
3,581,84,81,55,11,28
3,584,19,40,79,9,6
3,586,61,54,66,84,77
3,590,38,38,9,40,34
3,604,35,57,28,78,77
3,611,89,77,42,45,45
3,8283,42,45,4,71,32
25,3,31,31,33,57,23
25,6,11,83,77,50,55
25,8,87,10,22,5,98
25,19,21,91,65,90,31
25,23,86,90,97,64,13
25,28,45,3,20,43,9
25,29,21,21,39,19,13
25,30,5,69,94,87,14
25,33,43,82,10,43,81
25,35,60,36,6,8,65
25,50,25,61,6,12,12
25,54,70,13,84,67,58
25,55,37,4,17,41,82
25,75,73,46,99,86,88
25,80,29,1,64,93,22
25,86,85,55,60,61,21
25,94,42,71,56,52,16
25,127,31,5,94,19,40
25,152,25,5,26,49,72
25,154,81,61,59,22,53
25,182,87,59,24,60,27
25,192,62,80,92,70,56
25,214,0,21,35,38,36
25,224,19,16,77,63,97
25,226,36,88,45,67,59
25,246,86,25,36,67,85
25,252,73,60,78,30,63
25,255,38,80,51,18,49
25,257,19,90,93,79,91
25,261,95,17,1,69,21
25,271,0,2,57,34,88
25,273,72,42,40,47,68
25,280,57,34,50,91,72
25,282,24,36,71,71,21
25,286,53,30,37,18,44
25,299,50,73,47,88,53
25,300,2,97,62,2,4
25,302,33,9,72,33,88
25,306,62,43,7,66,97
25,308,24,12,73,89,39
25,310,31,29,56,27,95
25,322,53,23,85,50,85
25,325,42,69,46,25,21
25,339,22,73,14,47,24
25,348,82,37,61,48,3
25,349,21,23,20,80,59
25,356,61,20,91,58,30
25,358,38,70,76,90,72
25,363,27,43,80,68,82
25,370,37,0,41,13,37
25,371,54,70,30,71,37
25,373,76,35,44,5,36
25,377,72,69,71,50,99
25,379,55,51,58,94,92
25,407,31,89,59,89,76
25,415,2,22,71,71,5
25,422,71,64,33,77,38
25,428,15,74,45,82,43
25,439,12,46,13,80,78
25,488,75,48,95,93,73
25,514,44,75,66,84,34
25,545,82,57,80,92,36
25,549,47,18,20,82,88
25,560,21,4,68,8,23
25,590,35,69,35,88,38
25,592,42,89,41,96,12
25,600,84,74,20,62,56
25,604,0,51,37,35,96
25,611,20,33,27,73,38
25,645,4,70,40,99,70
25,650,79,20,99,60,10
25,659,45,5,14,82,65
25,664,90,70,5,23,2
25,667,74,14,56,7,42
25,673,16,22,38,10,13
25,675,52,48,2,49,46
25,696,59,3,67,6,5
25,706,55,78,97,79,21
25,723,31,64,28,2,66
25,739,96,30,61,1,93
25,756,49,46,93,84,7
25,857,49,68,24,58,25
25,864,19,70,93,98,60
25,893,5,16,53,52,29
25,959,27,44,43,57,19
25,994,34,16,17,58,74
25,1131,56,75,43,70,84
25,3755,27,1,12,42,76
25,8282,22,47,37,28,35
25,8284,79,86,90,99,11
4,8,64,12,74,28,45
4,10,45,98,34,76,92
4,28,14,25,74,84,17
4,30,60,7,77,95,90
4,38,4,84,90,3,0
4,55,18,44,28,94,69
4,56,76,90,42,38,16
4,75,71,41,20,4,30
4,130,3,56,16,41,31
4,140,11,92,63,54,12
4,147,25,59,32,30,44
4,151,65,72,28,90,85
4,152,2,92,68,44,18
4,214,63,6,86,80,45
4,232,65,83,83,42,29
4,243,3,84,93,86,33
4,282,0,17,33,69,8
4,299,87,39,82,12,3
4,341,81,64,47,20,74
4,363,40,1,55,99,23
4,370,88,88,87,52,20
4,415,25,46,67,16,73
4,560,14,86,49,76,82
4,606,62,4,54,28,65
4,611,16,27,94,56,86
4,645,11,29,53,10,62
4,650,79,78,6,37,91
4,659,89,5,95,79,91
4,8282,77,82,84,53,70
5,6,22,28,5,50,75
5,8,44,27,13,96,34
5,10,80,89,28,66,48
5,23,27,51,58,91,0
5,30,27,46,73,10,97
5,33,48,52,15,57,33
5,38,15,73,39,52,90
5,50,33,23,18,66,31
5,54,39,27,74,80,61
5,55,77,37,18,87,43
5,61,67,19,62,56,74
5,75,35,19,75,97,45
5,89,7,56,30,55,14
5,93,70,94,54,27,6
5,127,18,14,84,33,2
5,130,79,17,70,96,8
5,147,22,60,71,67,73
5,153,26,17,34,59,94
5,163,13,52,69,48,52
5,167,69,19,48,9,48
5,168,8,71,65,86,77
5,175,34,92,99,50,27
5,299,80,67,43,35,53
6,3,26,24,59,27,27
6,8,95,26,93,93,16
6,10,56,15,95,73,82
6,19,23,23,98,39,70
6,23,6,4,41,33,19
6,28,95,83,74,17,23
6,29,64,82,93,32,10
6,30,79,49,4,28,81
6,33,43,13,26,41,76
6,34,13,95,35,76,0
6,35,13,98,94,35,2
6,38,58,10,75,57,82
6,39,43,72,16,50,6
6,50,60,33,95,55,15
6,54,11,99,14,80,63
6,55,1,51,16,26,49
