source,destination,f1,f2,f3,f4,f5
27,1299,57,76,43,60,75
27,3064,99,68,17,93,13
27,4680,13,96,43,27,60
27,4919,11,7,3,45,27
27,6484,36,92,95,32,86
0,25,46,81,66,67,87
0,27,69,27,75,45,91
0,36,17,35,95,28,24
0,51,54,36,63,52,17
0,102,71,56,75,60,6
0,144,5,77,36,49,31
0,169,31,5,96,89,10
0,173,61,43,6,93,91
0,203,73,65,7,94,84
0,257,79,94,38,24,79
0,268,81,49,58,23,85
0,282,83,82,46,43,52
0,330,43,31,23,53,84
0,331,18,34,94,67,19
0,350,69,15,53,72,16
0,515,23,92,51,28,41
0,529,84,81,55,11,28
0,532,19,40,79,9,6
0,534,61,54,66,84,77
0,538,38,38,9,40,34
0,551,35,57,28,78,77
0,558,89,77,42,45,45
0,7100,42,45,4,71,32
22,0,31,31,33,57,23
22,3,11,83,77,50,55
22,5,87,10,22,5,98
22,16,21,91,65,90,31
22,20,86,90,97,64,13
22,25,45,3,20,43,9
22,26,21,21,39,19,13
22,27,5,69,94,87,14
22,30,43,82,10,43,81
22,32,60,36,6,8,65
22,47,25,61,6,12,12
22,51,70,13,84,67,58
22,52,37,4,17,41,82
22,70,73,46,99,86,88
22,75,29,1,64,93,22
22,81,85,55,60,61,21
22,89,42,71,56,52,16
22,121,31,5,94,19,40
22,144,25,5,26,49,72
22,146,81,61,59,22,53
22,173,87,59,24,60,27
22,181,62,80,92,70,56
22,203,0,21,35,38,36
22,212,19,16,77,63,97
22,214,36,88,45,67,59
22,233,86,25,36,67,85
22,239,73,60,78,30,63
22,242,38,80,51,18,49
22,244,19,90,93,79,91
22,248,95,17,1,69,21
22,257,0,2,57,34,88
22,258,72,42,40,47,68
22,263,57,34,50,91,72
22,264,24,36,71,71,21
22,268,53,30,37,18,44
22,281,50,73,47,88,53
22,282,2,97,62,2,4
22,284,33,9,72,33,88
22,288,62,43,7,66,97
22,290,24,12,73,89,39
22,292,31,29,56,27,95
22,304,53,23,85,50,85
22,307,42,69,46,25,21
22,321,22,73,14,47,24
22,330,82,37,61,48,3
22,331,21,23,20,80,59
22,337,61,20,91,58,30
22,339,38,70,76,90,72
22,342,27,43,80,68,82
22,349,37,0,41,13,37
22,350,54,70,30,71,37
22,352,76,35,44,5,36
22,356,72,69,71,50,99
22,358,55,51,58,94,92
22,384,31,89,59,89,76
22,392,2,22,71,71,5
22,398,71,64,33,77,38
22,404,15,74,45,82,43
22,415,12,46,13,80,78
22,449,75,48,95,93,73
22,467,44,75,66,84,34
22,493,82,57,80,92,36
22,497,47,18,20,82,88
22,508,21,4,68,8,23
22,538,35,69,35,88,38
22,540,42,89,41,96,12
22,548,84,74,20,62,56
22,551,0,51,37,35,96
22,558,20,33,27,73,38
22,589,4,70,40,99,70
22,594,79,20,99,60,10
22,603,45,5,14,82,65
22,607,90,70,5,23,2
22,610,74,14,56,7,42
22,615,16,22,38,10,13
22,617,52,48,2,49,46
22,636,59,3,67,6,5
22,645,55,78,97,79,21
22,662,31,64,28,2,66
22,678,96,30,61,1,93
22,693,49,46,93,84,7
22,786,49,68,24,58,25
22,792,19,70,93,98,60
22,820,5,16,53,52,29
22,880,27,44,43,57,19
22,915,34,16,17,58,74
22,1036,56,75,43,70,84
22,3415,27,1,12,42,76
22,7099,22,47,37,28,35
22,7101,79,86,90,99,11
1,5,64,12,74,28,45
1,7,45,98,34,76,92
1,25,14,25,74,84,17
1,27,60,7,77,95,90
1,35,4,84,90,3,0
1,52,18,44,28,94,69
1,53,76,90,42,38,16
1,70,71,41,20,4,30
1,124,3,56,16,41,31
1,133,11,92,63,54,12
1,140,25,59,32,30,44
1,143,65,72,28,90,85
1,144,2,92,68,44,18
1,203,63,6,86,80,45
1,219,65,83,83,42,29
1,230,3,84,93,86,33
1,264,0,17,33,69,8
1,281,87,39,82,12,3
1,323,81,64,47,20,74
1,342,40,1,55,99,23
1,349,88,88,87,52,20
1,392,25,46,67,16,73
1,508,14,86,49,76,82
1,553,62,4,54,28,65
1,558,16,27,94,56,86
1,589,11,29,53,10,62
1,594,79,78,6,37,91
1,603,89,5,95,79,91
1,7099,77,82,84,53,70
2,3,22,28,5,50,75
2,5,44,27,13,96,34
2,7,80,89,28,66,48
2,20,27,51,58,91,0
2,27,27,46,73,10,97
2,30,48,52,15,57,33
2,35,15,73,39,52,90
2,47,33,23,18,66,31
2,51,39,27,74,80,61
2,52,77,37,18,87,43
2,58,67,19,62,56,74
2,70,35,19,75,97,45
2,84,7,56,30,55,14
2,88,70,94,54,27,6
2,121,18,14,84,33,2
2,124,79,17,70,96,8
2,140,22,60,71,67,73
2,145,26,17,34,59,94
2,155,13,52,69,48,52
2,159,69,19,48,9,48
2,160,8,71,65,86,77
2,166,34,92,99,50,27
2,281,80,67,43,35,53
3,0,26,24,59,27,27
3,5,95,26,93,93,16
3,7,56,15,95,73,82
3,16,23,23,98,39,70
3,20,6,4,41,33,19
3,25,95,83,74,17,23
3,26,64,82,93,32,10
3,27,79,49,4,28,81
3,30,43,13,26,41,76
3,31,13,95,35,76,0
3,32,13,98,94,35,2
3,35,58,10,75,57,82
3,36,43,72,16,50,6
3,47,60,33,95,55,15
3,51,11,99,14,80,63
3,52,1,51,16,26,49
3,53,32,79,74,2,75
3,58,97,87,77,26,57
3,75,63,15,25,42,6
3,81,78,5,85,85,23
3,84,31,26,95,18,57
3,88,40,16,56,89,18
3,89,56,99,74,51,96
3,121,62,10,4,0,27
3,124,29,37,65,66,32
3,125,51,32,21,54,86
3,128,17,50,1,22,92
3,133,73,60,58,9,78
3,140,5,8,68,58,85
3,143,34,15,13,21,87
3,145,13,7,28,8,2
3,146,53,83,26,99,35
3,155,86,7,85,64,18
3,159,4,17,14,46,71
3,160,36,49,93,51,28
3,162,12,85,50,97,41
3,166,87,9,80,91,42
3,169,54,21,34,95,89
3,173,85,27,44,44,87
3,174,92,3,45,18,32
3,205,87,67,3,51,4
3,208,63,81,40,88,69
3,214,7,88,68,12,93
3,215,7,64,72,27,73
3,216,59,81,25,91,45
3,219,66,69,67,81,18
3,223,26,19,66,37,96
3,230,73,88,4,79,99
3,237,9,51,30,16,88
3,239,72,69,83,80,54
3,244,75,45,53,38,64
3,245,55,60,24,91,66
3,246,56,6,51,22,25
3,248,10,86,45,1,32
3,257,80,48,56,57,96
3,258,18,78,45,69,17
3,259,84,70,35,73,33
3,263,21,21,36,50,81
3,267,27,81,35,90,84
3,268,81,89,69,75,12
3,272,30,6,74,48,75
3,280,2,6,54,35,15
3,281,95,0,21,64,95
3,282,92,42,99,51,40
3,283,9,17,65,21,87
3,286,84,46,5,3,25
3,288,48,87,48,64,34
3,299,2,10,8,77,24
3,301,0,4,69,28,70
3,304,88,41,85,52,74
3,307,84,82,19,0,98
3,321,64,23,21,36,87
3,330,76,88,11,0,9
3,331,90,30,99,53,79
3,337,1,32,54,0,97
3,339,14,26,68,60,97
3,340,17,25,53,56,78
3,341,58,3,80,42,73
3,342,88,30,44,42,19
3,349,11,40,67,32,0
3,350,25,62,45,29,10
3,352,56,66,5,71,56
3,356,80,23,59,72,94
3,357,97,13,22,23,0
3,358,42,17,97,29,82
3,367,1,21,37,80,37
3,368,25,57,73,96,4
3,369,19,23,14,44,39
3,371,20,96,31,76,50
3,373,67,30,25,50,79
3,379,23,41,55,23,88
3,382,7,77,80,9,76
3,383,5,90,78,96,11
3,384,70,22,2,68,1
3,392,41,96,85,56,82
3,397,32,93,36,61,37
3,398,83,6,32,67,69
3,403,84,69,33,19,51
3,404,31,38,17,49,18
3,407,14,31,30,10,90
3,408,73,30,34,47,7
3,409,68,38,30,94,25
3,411,20,2,97,70,65
3,415,25,64,60,4,4
3,416,53,74,8,37,18
3,422,90,63,81,99,28
3,486,76,21,39,64,11
3,493,55,82,6,52,2
3,497,30,4,62,70,2
3,508,92,88,88,97,90
3,512,6,2,83,88,99
3,514,0,55,17,64,33
3,515,5,48,22,6,2
3,527,78,35,94,4,39
3,529,1,36,94,30,79
3,532,75,82,71,36,61
3,534,44,23,78,28,58
3,537,64,11,80,12,60
3,538,5,64,58,69,24
3,540,51,13,36,69,66
3,548,46,10,24,1,85
3,551,90,10,72,4,70
3,556,63,53,5,43,8
3,558,20,54,87,32,69
3,560,41,76,14,18,18
3,563,69,83,37,48,49
3,564,78,40,3,90,61
3,566,43,36,45,27,65
3,587,21,90,31,1,30
3,600,71,22,66,23,71
3,603,4,37,87,22,84
3,608,4,84,49,72,33
3,611,72,29,43,8,80
3,615,34,16,97,39,6
3,631,16,4,41,62,13
3,634,65,94,62,87,24
3,640,22,48,33,76,88
3,643,58,97,86,28,35
3,656,12,98,30,4,24
3,662,58,26,69,99,48
3,669,24,50,81,61,16
3,672,1,41,64,82,1
3,678,56,2,29,19,69
3,679,8,98,96,61,91
3,697,33,71,11,93,62
3,701,49,23,66,23,78
3,714,20,95,51,77,79
3,724,75,22,18,11,41
3,725,56,39,73,92,47
3,732,11,17,50,78,47
3,736,0,70,81,97,37
3,746,91,39,41,26,79
3,753,22,66,67,77,30
3,759,3,26,37,61,43
3,786,25,98,68,67,33
3,791,53,13,79,84,43
3,799,7,56,67,66,75
3,809,56,20,61,12,67
3,812,30,38,67,14,62
3,820,67,40,49,51,64
3,821,14,99,11,72,46
3,823,69,72,79,44,59
3,829,67,67,77,93,23
3,831,71,78,96,19,75
3,832,33,80,67,69,79
3,838,49,24,0,97,37
3,847,81,6,7,67,14
3,856,3,37,48,10,57
3,860,73,91,98,70,94
3,876,74,53,0,75,59
3,881,29,61,18,12,96
3,884,27,86,39,60,46
3,887,56,85,44,20,4
3,892,67,87,62,60,48
3,893,73,30,84,25,65
3,899,13,45,11,73,86
3,900,42,22,11,0,4
3,904,68,45,7,42,3
3,912,88,62,43,12,36
3,914,88,67,42,42,45
3,916,92,93,10,98,10
3,927,46,53,39,19,10
3,934,81,40,22,9,37
3,941,97,29,2,28,33
3,945,96,8,36,15,81
3,951,11,92,54,69,67
3,954,21,51,92,53,9
3,961,78,4,50,1,73
3,972,68,85,48,45,58
3,977,75,7,85,67,25
3,1030,20,67,8,53,12
3,1048,93,26,22,21,99
3,1055,75,86,57,96,7
3,1058,9,29,72,33,83
3,1062,44,69,87,90,85
3,1067,45,68,20,59,84
3,1068,34,54,98,62,82
3,1117,72,80,0,46,23
3,1119,54,53,41,63,43
3,1120,20,49,19,70,91
3,1121,29,24,54,56,33
3,1133,75,33,80,4,73
3,1140,84,40,29,60,72
3,1147,47,98,6,1,71
3,1150,26,15,42,16,12
3,1158,35,13,68,17,95
3,1189,59,52,56,8,39
3,1213,30,95,50,16,89
3,1218,2,42,10,61,10
3,1264,56,65,1,22,82
3,1276,54,60,47,86,69
3,1277,73,26,19,8,90
3,1281,80,24,92,31,12
3,1283,56,7,41,1,64
3,1312,59,63,94,0,84
3,1323,79,97,19,77,0
3,1325,79,92,72,14,97
3,1326,54,72,57,14,68
